count,bubbleResult,selectionResult,insertionSortResult,mergeSortResult,quickSortResult,goSort
0,100,166,200,100,33,166
20000,418987700,103432466,49981400,6135400,1698333,3413900
40000,1834322700,383356366,190431200,14150833,3714300,7260200
60000,4146608066,864772833,429088466,17314833,5753733,10916066
80000,7489688500,1550424433,760403900,25606133,7698266,14085800
100000,11769834366,2384879466,1191617500,30505633,9178100,17023333
120000,16989241666,3505402200,1730869966,33952033,10496200,19782066
140000,23151016833,4684919600,2348122033,44184700,12066800,22785866
160000,30241698966,6088792000,3066900500,50952500,13491166,25308300
180000,38183216000,7706621133,3935942133,56203900,15056833,29181066
